#,id,amount_requested,purpose,term_months,monthly_income,existing_loans,risk_score,ai_decision,ml_scoring_output,status,notes,submitted_at,reviewed_at,updated_at,credit_score_records,user_id
22,22,801031,education,24,82543.77,1,,reject,,rejected,,2025-04-28 09:26:17.066039,,2025-04-28 09:26:17.066125,,851
23,23,121673,business,12,82042.78,0,,reject,,rejected,,2025-04-28 09:26:17.256013,,2025-04-28 09:26:17.256100,,8238
24,24,866390,education,36,74195.92,0,,reject,,rejected,,2025-04-28 09:26:17.428742,,2025-04-28 09:26:17.428829,,4945
25,25,376449,medical,36,35798.54,1,,approve,,approved,,2025-04-28 09:26:17.591620,,2025-04-28 09:26:17.591743,,5746
26,26,646769,home,24,15808.67,0,,reject,,rejected,,2025-04-28 09:26:17.802492,,2025-04-28 09:26:17.802580,,6806
27,27,673806,business,60,27679.52,0,,approve,,approved,,2025-04-28 09:26:17.967963,,2025-04-28 09:26:17.968053,,5053
28,28,387723,education,60,60432.99,0,,reject,,rejected,,2025-04-28 09:26:18.130674,,2025-04-28 09:26:18.130761,,1402
29,29,306982,business,24,106345.39,1,,approve,,approved,,2025-04-28 09:26:18.298377,,2025-04-28 09:26:18.298466,,2328
30,30,235489,home,60,22490.95,1,,approve,,approved,,2025-04-28 09:26:18.470330,,2025-04-28 09:26:18.470362,,5710
31,31,696676,business,60,122009.43,0,,reject,,rejected,,2025-04-28 09:26:18.644468,,2025-04-28 09:26:18.644559,,8006
32,32,430122,education,12,35989.03,0,,reject,,rejected,,2025-04-28 09:26:18.812529,,2025-04-28 09:26:18.812619,,9027
33,33,723301,education,48,77626.61,1,,reject,,rejected,,2025-04-28 09:26:18.974999,,2025-04-28 09:26:18.975087,,1059
34,34,358150,business,48,92482.36,0,,reject,,rejected,,2025-04-28 09:26:19.137894,,2025-04-28 09:26:19.137984,,803
35,35,942879,home,36,121160.34,1,,reject,,rejected,,2025-04-28 09:26:19.324047,,2025-04-28 09:26:19.324135,,9578
36,36,998553,medical,36,24274.65,1,,reject,,rejected,,2025-04-28 09:26:19.507384,,2025-04-28 09:26:19.507472,,5467
37,37,544861,education,36,105916.08,1,,reject,,rejected,,2025-04-28 09:26:19.710813,,2025-04-28 09:26:19.710946,,8444
38,38,895375,education,48,88153.82,0,,reject,,rejected,,2025-04-28 09:26:19.919436,,2025-04-28 09:26:19.919524,,2894
39,39,836031,home,12,79125.05,0,,reject,,rejected,,2025-04-28 09:26:20.139486,,2025-04-28 09:26:20.139576,,1015
40,40,251454,medical,12,60416.69,1,,reject,,rejected,,2025-04-28 09:26:20.322769,,2025-04-28 09:26:20.322859,,1198
41,41,492831,medical,36,45958.46,1,,approve,,approved,,2025-04-28 09:26:20.521118,,2025-04-28 09:26:20.521232,,9178
42,42,197039,education,60,108624.9,0,,approve,,approved,,2025-04-28 09:26:20.699076,,2025-04-28 09:26:20.699193,,1999
43,43,136669,home,24,96440.73,0,,reject,,rejected,,2025-04-28 09:26:20.861775,,2025-04-28 09:26:20.861862,,6862
44,44,474835,home,48,71087.66,1,,approve,,approved,,2025-04-28 09:26:21.024584,,2025-04-28 09:26:21.024672,,779
45,45,127412,education,36,83933.47,1,,reject,,rejected,,2025-04-28 09:26:21.187316,,2025-04-28 09:26:21.187402,,8881
46,46,332812,education,12,36632.82,1,,reject,,rejected,,2025-04-28 09:26:21.421433,,2025-04-28 09:26:21.421520,,2751
47,47,136760,medical,36,67242.18,0,,reject,,rejected,,2025-04-28 09:26:21.609369,,2025-04-28 09:26:21.609433,,677
48,48,174246,medical,36,53163.17,0,,reject,,rejected,,2025-04-28 09:26:21.818111,,2025-04-28 09:26:21.818226,,582
49,49,830433,education,12,95144.79,1,,reject,,rejected,,2025-04-28 09:26:22.001138,,2025-04-28 09:26:22.001258,,5130
50,50,814970,home,60,19779.08,0,,reject,,rejected,,2025-04-28 09:26:22.210763,,2025-04-28 09:26:22.210853,,2508
51,51,143596,personal,60,35805.59,1,,reject,,rejected,,2025-04-28 09:26:22.398201,,2025-04-28 09:26:22.398331,,2930
52,52,746517,home,48,50489.57,0,,approve,,approved,,2025-04-28 09:26:22.580848,,2025-04-28 09:26:22.580938,,8385
53,53,837129,home,36,98030.72,0,,reject,,rejected,,2025-04-28 09:26:22.754013,,2025-04-28 09:26:22.754102,,844
54,54,431214,education,12,98013.34,0,,reject,,rejected,,2025-04-28 09:26:22.926845,,2025-04-28 09:26:22.926933,,1848
55,55,560113,home,60,59466.59,0,,reject,,rejected,,2025-04-28 09:26:23.099846,,2025-04-28 09:26:23.099943,,4316
56,56,346600,personal,12,101594.87,1,,reject,,rejected,,2025-04-28 09:26:23.288319,,2025-04-28 09:26:23.288407,,4310
57,57,349707,business,60,20429.24,0,,approve,,approved,,2025-04-28 09:26:23.475672,,2025-04-28 09:26:23.475699,,3576
58,58,722622,business,24,13520.09,1,,reject,,rejected,,2025-04-28 09:26:23.735896,,2025-04-28 09:26:23.735984,,7347
59,59,510877,medical,12,121619.98,1,,approve,,approved,,2025-04-28 09:26:23.979221,,2025-04-28 09:26:23.979261,,1941
60,60,544462,personal,36,92322.03,0,,approve,,approved,,2025-04-28 09:26:24.214266,,2025-04-28 09:26:24.214355,,5953
61,61,129296,personal,12,94821.13,0,,approve,,approved,,2025-04-28 09:26:24.457973,,2025-04-28 09:26:24.458056,,7238
62,62,249939,business,12,31921.08,1,,reject,,rejected,,2025-04-28 09:26:24.683727,,2025-04-28 09:26:24.683813,,2760
63,63,738771,medical,12,77687.49,1,,reject,,rejected,,2025-04-28 09:26:24.890094,,2025-04-28 09:26:24.890206,,175
64,64,401536,business,60,111225.88,1,,reject,,rejected,,2025-04-28 09:26:25.078757,,2025-04-28 09:26:25.078842,,8816
65,65,254136,education,24,96421.09,1,,approve,,approved,,2025-04-28 09:26:25.271853,,2025-04-28 09:26:25.271940,,1983
66,66,335738,medical,12,105793.56,1,,reject,,rejected,,2025-04-28 09:26:25.475592,,2025-04-28 09:26:25.475720,,6553
67,67,65571,personal,24,69901.47,1,,reject,,rejected,,2025-04-28 09:26:25.668763,,2025-04-28 09:26:25.668855,,4745
68,68,909651,home,48,69726.07,0,,reject,,rejected,,2025-04-28 09:26:25.902700,,2025-04-28 09:26:25.902787,,7571
69,69,105813,business,24,90639.11,1,,approve,,approved,,2025-04-28 09:26:26.075687,,2025-04-28 09:26:26.075775,,4017
70,70,241483,medical,24,42242.53,1,,reject,,rejected,,2025-04-28 09:26:26.401388,,2025-04-28 09:26:26.401477,,7462
71,71,960264,personal,36,73986.92,1,,reject,,rejected,,2025-04-28 09:26:26.614767,,2025-04-28 09:26:26.614854,,1366
72,72,403880,education,48,70566.4,0,,reject,,rejected,,2025-04-28 09:26:26.821305,,2025-04-28 09:26:26.821395,,424
73,73,709686,business,24,38758.02,1,,reject,,rejected,,2025-04-28 09:26:27.004387,,2025-04-28 09:26:27.004475,,5056
74,74,415512,business,48,58948.91,1,,approve,,approved,,2025-04-28 09:26:27.248917,,2025-04-28 09:26:27.249007,,5529
75,75,961368,medical,36,105836.07,0,,reject,,rejected,,2025-04-28 09:26:27.469328,,2025-04-28 09:26:27.469442,,3049
76,76,325236,home,60,95259.75,1,,reject,,rejected,,2025-04-28 09:26:27.726730,,2025-04-28 09:26:27.726819,,1650
77,77,158534,personal,36,67905.62,1,,reject,,rejected,,2025-04-28 09:26:27.906715,,2025-04-28 09:26:27.906805,,5166
78,78,486426,home,36,31945.96,1,,reject,,rejected,,2025-04-28 09:26:28.120442,,2025-04-28 09:26:28.120532,,2695
79,79,643295,home,60,105017.36,1,,reject,,rejected,,2025-04-28 09:26:28.364523,,2025-04-28 09:26:28.364657,,8358
80,80,704209,personal,36,95981.69,1,,reject,,rejected,,2025-04-28 09:26:28.577861,,2025-04-28 09:26:28.577946,,3561
81,81,580216,personal,48,113840.02,1,,reject,,rejected,,2025-04-28 09:26:28.822281,,2025-04-28 09:26:28.822374,,7218
82,82,108210,business,36,63735.43,0,,reject,,rejected,,2025-04-28 09:26:29.066417,,2025-04-28 09:26:29.066507,,2579
83,83,501942,education,12,14636.07,1,,reject,,rejected,,2025-04-28 09:26:29.575017,,2025-04-28 09:26:29.575106,,4107
84,84,450538,medical,24,108726.64,1,,reject,,rejected,,2025-04-28 09:26:29.798783,,2025-04-28 09:26:29.798873,,2845
85,85,474915,education,48,15650.93,0,,reject,,rejected,,2025-04-28 09:26:29.982130,,2025-04-28 09:26:29.982264,,9740
86,86,215627,home,36,49250.17,0,,reject,,rejected,,2025-04-28 09:26:30.199814,,2025-04-28 09:26:30.199904,,9359
87,87,552464,personal,60,15723.24,1,,reject,,rejected,,2025-04-28 09:26:30.422366,,2025-04-28 09:26:30.422453,,2468
88,88,583051,home,24,42741.85,1,,reject,,rejected,,2025-04-28 09:26:30.627120,,2025-04-28 09:26:30.627241,,1806
89,89,485346,business,24,106936.77,0,,reject,,rejected,,2025-04-28 09:26:30.836725,,2025-04-28 09:26:30.836842,,1629
90,90,239690,education,60,108027.71,0,,approve,,approved,,2025-04-28 09:26:31.019573,,2025-04-28 09:26:31.019661,,91
91,91,262261,education,60,113536.94,0,,reject,,rejected,,2025-04-28 09:26:31.192518,,2025-04-28 09:26:31.192604,,2785
92,92,487558,education,36,123866.38,0,,approve,,approved,,2025-04-28 09:26:31.416305,,2025-04-28 09:26:31.416392,,1195
93,93,303739,business,12,110489.05,1,,reject,,rejected,,2025-04-28 09:26:31.640028,,2025-04-28 09:26:31.640116,,9495
94,94,97301,business,36,46040.67,0,,reject,,rejected,,2025-04-28 09:26:31.823155,,2025-04-28 09:26:31.823284,,2810
95,95,746942,education,60,55256.88,0,,reject,,rejected,,2025-04-28 09:26:32.016521,,2025-04-28 09:26:32.016655,,4904
96,96,249739,medical,24,108446.23,1,,reject,,rejected,,2025-04-28 09:26:32.279972,,2025-04-28 09:26:32.280011,,6990
97,97,166341,home,12,53381.39,0,,reject,,rejected,,2025-04-28 09:26:32.464153,,2025-04-28 09:26:32.464268,,7747
98,98,845747,personal,24,73613.84,1,,reject,,rejected,,2025-04-28 09:26:32.672561,,2025-04-28 09:26:32.672650,,866
99,99,213173,home,12,45553.2,0,,approve,,approved,,2025-04-28 09:26:32.881256,,2025-04-28 09:26:32.881345,,6867
100,100,569573,medical,36,70982.76,0,,approve,,approved,,2025-04-28 09:26:33.064265,,2025-04-28 09:26:33.064356,,4604
101,101,657384,home,12,13520.09,0,,reject,,rejected,,2025-04-28 09:26:33.247683,,2025-04-28 09:26:33.247775,,7347
102,102,848767,personal,48,75970.85,0,,reject,,rejected,,2025-04-28 09:26:33.430464,,2025-04-28 09:26:33.430554,,9303
103,103,158047,home,36,116799.32,0,,reject,,rejected,,2025-04-28 09:26:33.603386,,2025-04-28 09:26:33.603474,,6381
104,104,900047,education,36,35366.84,1,,reject,,rejected,,2025-04-28 09:26:33.786517,,2025-04-28 09:26:33.786605,,4855
105,105,59783,home,12,15288.76,0,,reject,,rejected,,2025-04-28 09:26:33.969504,,2025-04-28 09:26:33.969592,,686
106,106,691719,home,48,124708.42,1,,reject,,rejected,,2025-04-28 09:26:34.152594,,2025-04-28 09:26:34.152683,,5516
107,107,630419,medical,24,16464.1,0,,reject,,rejected,,2025-04-28 09:26:34.335553,,2025-04-28 09:26:34.335638,,6992
108,108,953973,education,12,111658.42,0,,reject,,rejected,,2025-04-28 09:26:34.518769,,2025-04-28 09:26:34.518858,,4235
109,109,425845,personal,36,27747.24,1,,reject,,rejected,,2025-04-28 09:26:34.701912,,2025-04-28 09:26:34.701998,,6967
110,110,395314,business,48,111706.62,1,,reject,,rejected,,2025-04-28 09:26:34.931496,,2025-04-28 09:26:34.931585,,4573
111,111,270811,business,24,101781.17,1,,reject,,rejected,,2025-04-28 09:26:35.139365,,2025-04-28 09:26:35.139453,,1160
112,112,426822,personal,12,109864.63,1,,approve,,approved,,2025-04-28 09:26:35.322482,,2025-04-28 09:26:35.322569,,6147
113,113,949565,personal,60,14437.17,0,,reject,,rejected,,2025-04-28 09:26:35.556529,,2025-04-28 09:26:35.556618,,3047
114,114,818745,business,48,107088.62,1,,reject,,rejected,,2025-04-28 09:26:35.762952,,2025-04-28 09:26:35.763042,,6131
115,115,236218,personal,48,42587.87,1,,reject,,rejected,,2025-04-28 09:26:35.973495,,2025-04-28 09:26:35.973581,,7627
116,116,233221,education,24,21917.18,0,,reject,,rejected,,2025-04-28 09:26:36.176953,,2025-04-28 09:26:36.177039,,9229
117,117,829373,medical,12,26621.08,0,,reject,,rejected,,2025-04-28 09:26:36.359857,,2025-04-28 09:26:36.359941,,9641
118,118,954814,business,48,78171.43,1,,reject,,rejected,,2025-04-28 09:26:36.543129,,2025-04-28 09:26:36.543243,,3557
119,119,830401,education,24,92505.66,1,,reject,,rejected,,2025-04-28 09:26:36.726252,,2025-04-28 09:26:36.726340,,4668
120,120,909525,medical,48,49301.41,0,,reject,,rejected,,2025-04-28 09:26:36.909534,,2025-04-28 09:26:36.909626,,8543
121,121,714036,personal,24,67465.38,0,,reject,,rejected,,2025-04-28 09:26:37.092561,,2025-04-28 09:26:37.092680,,3528
122,122,428046,personal,24,119013.8,1,,reject,,rejected,,2025-04-28 09:26:37.322963,,2025-04-28 09:26:37.323053,,7096
123,123,758832,medical,60,74209.19,0,,reject,,rejected,,2025-04-28 09:26:37.550376,,2025-04-28 09:26:37.550464,,3390
124,124,284622,personal,36,23372.12,1,,reject,,rejected,,2025-04-28 09:26:37.733481,,2025-04-28 09:26:37.733568,,3079
125,125,674696,home,60,87557.12,0,,reject,,rejected,,2025-04-28 09:26:37.987730,,2025-04-28 09:26:37.987817,,1260
126,126,877115,business,48,40848.27,0,,reject,,rejected,,2025-04-28 09:26:38.160540,,2025-04-28 09:26:38.160626,,8207
127,127,701668,personal,60,89293.56,1,,approve,,approved,,2025-04-28 09:26:38.323519,,2025-04-28 09:26:38.323608,,2565
128,128,332175,home,48,31489.39,1,,reject,,rejected,,2025-04-28 09:26:38.506676,,2025-04-28 09:26:38.506769,,5486
129,129,89307,business,12,120836.03,1,,approve,,approved,,2025-04-28 09:26:38.689576,,2025-04-28 09:26:38.689664,,7639
130,130,582779,education,12,21363.72,1,,reject,,rejected,,2025-04-28 09:26:38.893045,,2025-04-28 09:26:38.893133,,4975
131,131,585962,personal,60,40475.85,1,,reject,,rejected,,2025-04-28 09:26:39.109595,,2025-04-28 09:26:39.109686,,2549
132,132,406602,medical,60,26922.18,1,,reject,,rejected,,2025-04-28 09:26:39.343617,,2025-04-28 09:26:39.343703,,5976
133,133,212894,business,36,87490.34,0,,reject,,rejected,,2025-04-28 09:26:39.557263,,2025-04-28 09:26:39.557351,,3008
134,134,664105,personal,24,26633.69,1,,reject,,rejected,,2025-04-28 09:26:39.785569,,2025-04-28 09:26:39.785657,,336
135,135,196150,medical,36,124855.79,1,,reject,,rejected,,2025-04-28 09:26:40.014952,,2025-04-28 09:26:40.015041,,5546
136,136,76394,business,36,50005.62,1,,reject,,rejected,,2025-04-28 09:26:40.225595,,2025-04-28 09:26:40.225681,,7171
137,137,518579,education,60,68245.86,0,,reject,,rejected,,2025-04-28 09:26:40.464101,,2025-04-28 09:26:40.464215,,1464
138,138,209745,business,48,84390.03,0,,reject,,rejected,,2025-04-28 09:26:40.652071,,2025-04-28 09:26:40.652098,,7823
139,139,435222,personal,48,40213.75,0,,reject,,rejected,,2025-04-28 09:26:40.860696,,2025-04-28 09:26:40.860787,,3055
140,140,485674,education,36,104820.03,0,,reject,,rejected,,2025-04-28 09:26:41.072836,,2025-04-28 09:26:41.072922,,4433
141,141,112617,personal,48,123046.86,1,,reject,,rejected,,2025-04-28 09:26:41.283699,,2025-04-28 09:26:41.283788,,5850
142,142,391343,personal,36,45731.64,1,,approve,,approved,,2025-04-28 09:26:41.476972,,2025-04-28 09:26:41.477060,,5557
143,143,826364,personal,48,71564.14,0,,reject,,rejected,,2025-04-28 09:26:41.659059,,2025-04-28 09:26:41.659086,,3371
144,144,275839,medical,48,61464.38,1,,reject,,rejected,,2025-04-28 09:26:41.853318,,2025-04-28 09:26:41.853407,,8780
145,145,230675,medical,60,73613.84,1,,reject,,rejected,,2025-04-28 09:26:42.059677,,2025-04-28 09:26:42.059763,,866
146,146,396366,business,48,20302.21,0,,reject,,rejected,,2025-04-28 09:26:42.339297,,2025-04-28 09:26:42.339386,,1284
147,147,699136,education,48,118568.72,1,,reject,,rejected,,2025-04-28 09:26:42.575755,,2025-04-28 09:26:42.575846,,698
148,148,836023,medical,60,102155.69,1,,reject,,rejected,,2025-04-28 09:26:42.819753,,2025-04-28 09:26:42.819843,,1100
149,149,192410,education,24,34169.84,0,,reject,,rejected,,2025-04-28 09:26:43.036092,,2025-04-28 09:26:43.036207,,1437
150,150,650542,personal,24,75687.31,0,,approve,,approved,,2025-04-28 09:26:43.290881,,2025-04-28 09:26:43.290973,,7542
151,151,941401,home,36,38101.62,0,,reject,,rejected,,2025-04-28 09:26:43.483785,,2025-04-28 09:26:43.483875,,2539
152,152,978866,home,24,25332.97,1,,reject,,rejected,,2025-04-28 09:26:43.694783,,2025-04-28 09:26:43.694896,,4115
153,153,976381,education,36,88517,1,,reject,,rejected,,2025-04-28 09:26:43.939045,,2025-04-28 09:26:43.939136,,4404
154,154,140862,education,36,26527.56,1,,approve,,approved,,2025-04-28 09:26:44.132022,,2025-04-28 09:26:44.132108,,3413
155,155,668676,medical,24,102270.51,1,,reject,,rejected,,2025-04-28 09:26:44.335388,,2025-04-28 09:26:44.335477,,8281
156,156,316247,personal,36,111157.3,1,,approve,,approved,,2025-04-28 09:26:44.518438,,2025-04-28 09:26:44.518524,,9325
157,157,436064,personal,36,26169.52,0,,reject,,rejected,,2025-04-28 09:26:44.714735,,2025-04-28 09:26:44.714824,,6308
158,158,858031,education,48,46939.92,0,,reject,,rejected,,2025-04-28 09:26:44.924034,,2025-04-28 09:26:44.924120,,1345
159,159,828563,education,36,114025.18,1,,reject,,rejected,,2025-04-28 09:26:45.141834,,2025-04-28 09:26:45.141920,,9961
160,160,901611,personal,48,100511.19,0,,reject,,rejected,,2025-04-28 09:26:45.312116,,2025-04-28 09:26:45.312229,,4555
161,161,545836,home,36,28325.87,0,,reject,,rejected,,2025-04-28 09:26:45.518320,,2025-04-28 09:26:45.518455,,5602
162,162,254381,medical,60,61725.18,0,,reject,,rejected,,2025-04-28 09:26:45.711482,,2025-04-28 09:26:45.711568,,2272
163,163,113411,education,24,106319.43,0,,reject,,rejected,,2025-04-28 09:26:45.896159,,2025-04-28 09:26:45.896282,,8213
164,164,925762,home,60,74820.35,1,,reject,,rejected,,2025-04-28 09:26:46.069075,,2025-04-28 09:26:46.069202,,2430
165,165,149394,medical,60,26364.51,1,,reject,,rejected,,2025-04-28 09:26:46.231645,,2025-04-28 09:26:46.231729,,6989
166,166,852370,education,36,106648.56,1,,reject,,rejected,,2025-04-28 09:26:46.404079,,2025-04-28 09:26:46.404130,,7307
167,167,56244,education,36,97289.7,1,,reject,,rejected,,2025-04-28 09:26:46.740140,,2025-04-28 09:26:46.740253,,5583
168,168,243425,personal,48,91766.91,1,,reject,,rejected,,2025-04-28 09:26:46.959972,,2025-04-28 09:26:46.960058,,2172
169,169,430532,business,12,13983.1,0,,reject,,rejected,,2025-04-28 09:26:47.204296,,2025-04-28 09:26:47.204387,,4474
170,170,103453,medical,24,96973.01,0,,approve,,approved,,2025-04-28 09:26:47.427582,,2025-04-28 09:26:47.427711,,9752
171,171,990991,home,48,16894.88,1,,reject,,rejected,,2025-04-28 09:26:47.672129,,2025-04-28 09:26:47.672248,,5926
172,172,976017,business,36,98928.31,1,,reject,,rejected,,2025-04-28 09:26:47.916312,,2025-04-28 09:26:47.916400,,5650
173,173,444894,business,36,42474.5,0,,reject,,rejected,,2025-04-28 09:26:48.119700,,2025-04-28 09:26:48.119787,,5471
174,174,692207,medical,24,121373.21,1,,reject,,rejected,,2025-04-28 09:26:48.343695,,2025-04-28 09:26:48.343798,,6835
175,175,887741,home,24,33833.73,1,,reject,,rejected,,2025-04-28 09:26:48.587704,,2025-04-28 09:26:48.587794,,6923
176,176,817410,business,12,101459.8,1,,reject,,rejected,,2025-04-28 09:26:48.770762,,2025-04-28 09:26:48.770848,,964
177,177,941899,personal,36,18721.82,1,,reject,,rejected,,2025-04-28 09:26:48.953919,,2025-04-28 09:26:48.954008,,1923
178,178,498850,home,36,99994.44,1,,approve,,approved,,2025-04-28 09:26:49.136969,,2025-04-28 09:26:49.137057,,9502
179,179,458808,education,60,49868.54,0,,reject,,rejected,,2025-04-28 09:26:49.320009,,2025-04-28 09:26:49.320096,,4239
180,180,454190,personal,48,19871.2,1,,reject,,rejected,,2025-04-28 09:26:49.543826,,2025-04-28 09:26:49.543913,,3646
181,181,551622,medical,48,89961.35,1,,reject,,rejected,,2025-04-28 09:26:49.788037,,2025-04-28 09:26:49.788123,,2789
182,182,154907,home,24,60734.2,0,,reject,,rejected,,2025-04-28 09:26:50.093093,,2025-04-28 09:26:50.093217,,8754
183,183,290044,personal,60,57671.17,1,,reject,,rejected,,2025-04-28 09:26:50.337224,,2025-04-28 09:26:50.337312,,113
184,184,252608,business,12,88742.28,1,,reject,,rejected,,2025-04-28 09:26:50.581791,,2025-04-28 09:26:50.581884,,1144
185,185,703919,personal,48,65462.37,0,,approve,,approved,,2025-04-28 09:26:50.795105,,2025-04-28 09:26:50.795219,,7670
186,186,754788,education,24,87798.22,1,,reject,,rejected,,2025-04-28 09:26:50.978117,,2025-04-28 09:26:50.978238,,8169
187,187,806310,home,24,50376.24,1,,reject,,rejected,,2025-04-28 09:26:51.212067,,2025-04-28 09:26:51.212157,,2036
188,188,184310,education,36,104651.26,0,,reject,,rejected,,2025-04-28 09:26:51.395340,,2025-04-28 09:26:51.395428,,1620
189,189,430029,personal,12,63063.22,1,,reject,,rejected,,2025-04-28 09:26:51.578001,,2025-04-28 09:26:51.578072,,2309
190,190,603500,medical,36,39653.78,0,,reject,,rejected,,2025-04-28 09:26:51.822470,,2025-04-28 09:26:51.822560,,3444
191,191,269273,business,48,35366.84,0,,reject,,rejected,,2025-04-28 09:26:52.015756,,2025-04-28 09:26:52.015845,,4855
192,192,857933,medical,24,27302.87,0,,reject,,rejected,,2025-04-28 09:26:52.208870,,2025-04-28 09:26:52.208954,,2311
193,193,968693,medical,60,74463.15,1,,reject,,rejected,,2025-04-28 09:26:52.432832,,2025-04-28 09:26:52.432919,,1764
194,194,505339,business,36,114930.47,0,,reject,,rejected,,2025-04-28 09:26:52.708675,,2025-04-28 09:26:52.708764,,9824
195,195,579999,education,24,41890.54,1,,reject,,rejected,,2025-04-28 09:26:52.951729,,2025-04-28 09:26:52.951819,,5083
196,196,584051,education,12,42719.47,1,,reject,,rejected,,2025-04-28 09:26:53.155112,,2025-04-28 09:26:53.155236,,6155
197,197,494903,personal,60,103427.08,1,,reject,,rejected,,2025-04-28 09:26:53.378909,,2025-04-28 09:26:53.378999,,7933
198,198,700733,personal,12,13315.66,1,,reject,,rejected,,2025-04-28 09:26:53.572241,,2025-04-28 09:26:53.572330,,2281
199,199,663099,home,36,122834.99,0,,approve,,approved,,2025-04-28 09:26:53.774706,,2025-04-28 09:26:53.774738,,2535
200,200,794700,business,48,113891.73,0,,approve,,approved,,2025-04-28 09:26:53.958632,,2025-04-28 09:26:53.958720,,2561
201,201,244858,home,48,74657.16,0,,reject,,rejected,,2025-04-28 09:26:54.162540,,2025-04-28 09:26:54.162630,,5839
202,202,825805,business,24,23824.37,0,,reject,,rejected,,2025-04-28 09:26:54.355452,,2025-04-28 09:26:54.355543,,8654
203,203,880529,home,48,108731.78,1,,reject,,rejected,,2025-04-28 09:26:54.539032,,2025-04-28 09:26:54.539193,,6460
204,204,298102,personal,60,86961.97,1,,reject,,rejected,,2025-04-28 09:26:54.734389,,2025-04-28 09:26:54.734478,,2203
205,205,158409,medical,12,50638.73,1,,approve,,approved,,2025-04-28 09:26:54.935662,,2025-04-28 09:26:54.935752,,2716
206,206,286285,personal,12,115798.36,0,,approve,,approved,,2025-04-28 09:26:55.150639,,2025-04-28 09:26:55.150739,,3279
207,207,546578,personal,12,115203.85,1,,reject,,rejected,,2025-04-28 09:26:55.362721,,2025-04-28 09:26:55.362812,,1576
208,208,978770,personal,60,81616.79,1,,approve,,approved,,2025-04-28 09:26:55.558733,,2025-04-28 09:26:55.558868,,6886
209,209,558885,medical,36,27279.19,1,,reject,,rejected,,2025-04-28 09:26:55.739085,,2025-04-28 09:26:55.739204,,5538
210,210,205616,business,36,62659.46,1,,reject,,rejected,,2025-04-28 09:26:55.932312,,2025-04-28 09:26:55.932400,,3762
211,211,866266,business,12,92322.03,0,,reject,,rejected,,2025-04-28 09:26:56.463717,,2025-04-28 09:26:56.463804,,5953
212,212,942544,home,24,19802.59,0,,reject,,rejected,,2025-04-28 09:26:56.687558,,2025-04-28 09:26:56.687647,,5992
