#,id,bureau_score,score_band,report_status,total_accounts,active_accounts,overdue_accounts,dpd_max,credit_utilization_pct,emi_to_income_ratio,tradelines,enquiries,mock_raw_report,created_at,loan_application_id,user_id
11,11,590,low,mocked,11,1,0,0,56.89,0.13,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 63364.4}]","{""bureau_score"": 590, ""report_number"": ""7fea2441-405b-476b-994a-24bcdcfeba97"", ""assessment_date"": ""2025-01-25""}",2025-05-11 10:03:19.036675,11,7103
12,12,584,low,mocked,7,1,0,0,84.18,0.13,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 28318.6}]","{""bureau_score"": 584, ""report_number"": ""74a42010-6368-4241-8343-d7157888b5b7"", ""assessment_date"": ""2025-05-05""}",2025-05-11 10:03:19.067267,12,9632
13,13,754,high,mocked,9,9,0,0,83.61,0.24,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 65465.5}]","{""bureau_score"": 754, ""report_number"": ""a86e77cd-bd16-4df1-b1f6-1fe93397d6be"", ""assessment_date"": ""2025-03-26""}",2025-05-11 10:03:19.093925,13,1545
14,14,799,high,mocked,6,6,0,0,86.84,0.91,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 85951.6}]","{""bureau_score"": 799, ""report_number"": ""5da887e9-b4f0-4ee7-8994-e70a6c96b812"", ""assessment_date"": ""2025-01-20""}",2025-05-11 10:03:19.113738,14,2721
15,15,617,low,mocked,14,7,0,0,50.39,0.16,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 64257.3}]","{""bureau_score"": 617, ""report_number"": ""48ea0734-350e-49c0-ab1c-4eb6e5315f60"", ""assessment_date"": ""2025-03-21""}",2025-05-11 10:03:19.140100,15,7219
16,16,722,medium,mocked,15,8,0,0,92.33,1.87,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 37272.5}]","{""bureau_score"": 722, ""report_number"": ""e8976012-5e08-4bb9-9e94-f00af8c85bd8"", ""assessment_date"": ""2025-02-27""}",2025-05-11 10:03:19.174753,16,1703
17,17,753,high,mocked,6,3,1,60,92.96,0.44,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 92253.2}]","{""bureau_score"": 753, ""report_number"": ""13493ebe-9c93-4efe-b6f0-3d1b9603bfd7"", ""assessment_date"": ""2025-05-05""}",2025-05-11 10:03:19.197466,17,1551
18,18,591,low,mocked,1,1,0,0,8.09,0.12,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 28874.8}]","{""bureau_score"": 591, ""report_number"": ""e1fea41e-8a78-4bee-88a4-90d4192e00a7"", ""assessment_date"": ""2025-01-14""}",2025-05-11 10:03:19.217103,18,6688
19,19,617,low,mocked,10,9,0,60,89.35,0.17,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 29692.3}]","{""bureau_score"": 617, ""report_number"": ""60d7d625-3946-4eae-815c-58c1b6dc87e0"", ""assessment_date"": ""2025-01-19""}",2025-05-11 10:03:19.248602,19,9877
20,20,442,low,mocked,15,3,0,0,11.1,0.85,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 82495.5}]","{""bureau_score"": 442, ""report_number"": ""31962a0e-076a-47a1-9d23-4c549b0f7682"", ""assessment_date"": ""2025-01-30""}",2025-05-11 10:03:19.281335,20,4457
21,21,806,high,mocked,11,9,0,0,23.79,1.5,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 62531.9}]","{""bureau_score"": 806, ""report_number"": ""59019ec3-01e5-4928-aaec-9e2352d439c7"", ""assessment_date"": ""2025-02-07""}",2025-05-11 10:03:19.379057,21,2251
22,22,649,low,mocked,11,5,0,0,74.53,0.27,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 75552.9}]","{""bureau_score"": 649, ""report_number"": ""0e02c487-ef9e-41c5-bfeb-aca43bd75b71"", ""assessment_date"": ""2025-04-10""}",2025-05-11 10:03:19.446203,22,4975
23,23,769,high,mocked,1,1,0,0,22.88,0.2,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 43017.0}]","{""bureau_score"": 769, ""report_number"": ""2a11d817-ec0a-44be-9e20-0dd75952ac1d"", ""assessment_date"": ""2025-01-30""}",2025-05-11 10:03:19.505889,23,9136
24,24,340,low,mocked,12,1,0,30,5.95,1.81,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 58641.5}]","{""bureau_score"": 340, ""report_number"": ""841b0e58-10d9-43c7-8428-2e6d31475f0d"", ""assessment_date"": ""2025-02-16""}",2025-05-11 10:03:19.540544,24,9128
25,25,344,low,mocked,10,9,0,0,47.3,1.07,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 95429.5}]","{""bureau_score"": 344, ""report_number"": ""88bcaf45-e96a-4dff-a993-67a1b4125076"", ""assessment_date"": ""2025-03-11""}",2025-05-11 10:03:19.564212,25,4303
26,26,386,low,mocked,12,10,1,30,78.54,0.49,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 93382.4}]","{""bureau_score"": 386, ""report_number"": ""e2f11186-1c1a-49b9-ab2c-4547fa20ed9d"", ""assessment_date"": ""2025-03-09""}",2025-05-11 10:03:19.593950,26,403
27,27,306,low,mocked,1,1,1,30,82.69,0.03,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 15434.5}]","{""bureau_score"": 306, ""report_number"": ""08d78568-149e-403a-b71f-5c2451950258"", ""assessment_date"": ""2025-04-27""}",2025-05-11 10:03:19.618677,27,5016
28,28,528,low,mocked,1,1,0,0,52.91,0.35,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 77245.9}]","{""bureau_score"": 528, ""report_number"": ""7a1d73b9-a296-4c7d-b0ed-ade6ca567502"", ""assessment_date"": ""2025-01-06""}",2025-05-11 10:03:19.638277,28,5691
29,29,490,low,mocked,10,9,0,0,15.55,0.29,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 59911.8}]","{""bureau_score"": 490, ""report_number"": ""25fe9e19-baa2-46e6-8948-d7b448eeab88"", ""assessment_date"": ""2025-03-05""}",2025-05-11 10:03:19.661919,29,6608
30,30,663,medium,mocked,4,4,0,0,7.87,0.53,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 52513.3}]","{""bureau_score"": 663, ""report_number"": ""e079b613-d813-4f3e-8c2e-3230e47e3269"", ""assessment_date"": ""2025-04-28""}",2025-05-11 10:03:19.691319,30,4521
31,31,698,medium,mocked,15,8,2,30,91.45,0.05,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 28276.7}]","{""bureau_score"": 698, ""report_number"": ""687f925e-f03d-4523-a0d4-3705cb4251e1"", ""assessment_date"": ""2025-01-08""}",2025-05-11 10:03:19.715579,31,3704
32,32,419,low,mocked,3,3,0,30,57.1,0.4,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 87564.3}]","{""bureau_score"": 419, ""report_number"": ""dfe6fa50-2498-43e3-bc89-39c12ca8f8ed"", ""assessment_date"": ""2025-01-12""}",2025-05-11 10:03:19.735223,32,8687
33,33,678,medium,mocked,10,6,0,0,50.48,0.22,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 88555.8}]","{""bureau_score"": 678, ""report_number"": ""c3077ebe-b029-4f0c-a41d-7674c8956d4b"", ""assessment_date"": ""2025-04-03""}",2025-05-11 10:03:19.762318,33,399
34,34,544,low,mocked,9,9,0,0,67.68,0.11,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 31495.4}]","{""bureau_score"": 544, ""report_number"": ""7c4b774f-087d-459d-88dd-aa384133603f"", ""assessment_date"": ""2025-04-06""}",2025-05-11 10:03:19.792021,34,152
35,35,765,high,mocked,10,8,1,90,93.69,0.09,"[{""dpd"": 90, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 26835.7}]","{""bureau_score"": 765, ""report_number"": ""04a2fafc-bd53-4fe4-8d08-db55fb2cb3b0"", ""assessment_date"": ""2025-05-07""}",2025-05-11 10:03:19.821633,35,4883
36,36,362,low,mocked,4,1,0,0,84.33,0.02,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 7095.5}]","{""bureau_score"": 362, ""report_number"": ""c8265a2c-a921-423c-a4ae-e6f051732086"", ""assessment_date"": ""2025-01-19""}",2025-05-11 10:03:19.841104,36,7156
37,37,302,low,mocked,3,3,0,0,70.26,0.69,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 83378.5}]","{""bureau_score"": 302, ""report_number"": ""f634248e-b81c-4b3d-9550-4934532e69e1"", ""assessment_date"": ""2025-04-30""}",2025-05-11 10:03:19.874226,37,6462
38,38,475,low,mocked,3,3,0,0,84.53,0.11,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 22774.5}]","{""bureau_score"": 475, ""report_number"": ""25f36c47-a6b6-43ee-a6f3-7779ea3cd000"", ""assessment_date"": ""2025-03-14""}",2025-05-11 10:03:19.901622,38,4148
39,39,346,low,mocked,12,3,0,0,18.64,0.2,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 57524.5}]","{""bureau_score"": 346, ""report_number"": ""8d2f0751-d48b-45fa-9ad3-47d15f19a06c"", ""assessment_date"": ""2025-05-01""}",2025-05-11 10:03:19.921642,39,878
40,40,328,low,mocked,8,2,0,0,97.5,0.8,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 66601.0}]","{""bureau_score"": 328, ""report_number"": ""323cd9ee-bc40-4d52-a930-bac291850323"", ""assessment_date"": ""2025-04-03""}",2025-05-11 10:03:19.940897,40,9508
41,41,382,low,mocked,10,6,0,0,81.62,0.21,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 94789.0}]","{""bureau_score"": 382, ""report_number"": ""0e68145c-e2bd-4b51-8846-d7a28756d5cd"", ""assessment_date"": ""2025-01-08""}",2025-05-11 10:03:19.971908,41,159
42,42,428,low,mocked,5,2,2,30,29.42,0.03,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 21113.4}]","{""bureau_score"": 428, ""report_number"": ""cc0a9e31-0108-4fc5-8164-590ff195938e"", ""assessment_date"": ""2025-02-08""}",2025-05-11 10:03:19.998594,42,1608
43,43,541,low,mocked,1,1,0,0,83.26,0.63,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 97839.8}]","{""bureau_score"": 541, ""report_number"": ""a9bc0150-20fc-4281-b858-69a5605ff77e"", ""assessment_date"": ""2025-03-18""}",2025-05-11 10:03:20.023214,43,1099
44,44,475,low,mocked,10,10,0,0,19.46,0.61,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 56930.8}]","{""bureau_score"": 475, ""report_number"": ""fef42d96-c5e2-414e-95dc-b777f8b1f785"", ""assessment_date"": ""2025-02-06""}",2025-05-11 10:03:20.045175,44,9587
45,45,558,low,mocked,15,6,0,30,22.88,0.29,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 75817.2}]","{""bureau_score"": 558, ""report_number"": ""3a7cd4bf-17fc-46f2-b755-b5107745916a"", ""assessment_date"": ""2025-04-05""}",2025-05-11 10:03:20.073288,45,1606
46,46,746,medium,mocked,4,4,0,0,13.63,1.55,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 66162.8}]","{""bureau_score"": 746, ""report_number"": ""dcf2dad3-ccd8-4429-9f5a-05b1f73b7607"", ""assessment_date"": ""2025-03-03""}",2025-05-11 10:03:20.097813,46,3640
47,47,659,medium,mocked,5,3,0,0,98.52,0.09,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 51533.5}]","{""bureau_score"": 659, ""report_number"": ""d44b50ab-f29b-4f67-8527-07f0457bb58e"", ""assessment_date"": ""2025-03-12""}",2025-05-11 10:03:20.117219,47,1046
48,48,600,low,mocked,9,1,0,0,92.48,0.39,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 64577.0}]","{""bureau_score"": 600, ""report_number"": ""bf06d7d5-57e2-453e-a6f8-85a892b4a8af"", ""assessment_date"": ""2025-01-08""}",2025-05-11 10:03:20.140788,48,6191
49,49,847,high,mocked,9,6,2,30,74.91,0.02,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 16947.3}]","{""bureau_score"": 847, ""report_number"": ""32aafe59-6a09-43be-8a24-dc9ee01bcef4"", ""assessment_date"": ""2025-02-15""}",2025-05-11 10:03:20.170420,49,7150
50,50,475,low,mocked,13,3,0,0,99.97,0.24,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 35034.6}]","{""bureau_score"": 475, ""report_number"": ""93ef40d5-37db-45bc-89d0-128a43c5a8d5"", ""assessment_date"": ""2025-01-11""}",2025-05-11 10:03:20.195130,50,4738
51,51,304,low,mocked,11,9,0,0,33.93,0.59,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 80465.7}]","{""bureau_score"": 304, ""report_number"": ""25199d22-1997-44e8-ae44-fd51cf003c3c"", ""assessment_date"": ""2025-04-20""}",2025-05-11 10:03:20.214766,51,9973
52,52,494,low,mocked,9,4,0,0,56.58,0.21,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 45309.0}]","{""bureau_score"": 494, ""report_number"": ""504df6bf-c8e1-4eed-b54c-f7783067ec2c"", ""assessment_date"": ""2025-03-06""}",2025-05-11 10:03:20.237967,52,3984
53,53,841,high,mocked,7,7,0,0,59.47,0.14,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 69538.3}]","{""bureau_score"": 841, ""report_number"": ""e1ed2631-46b3-46ee-86af-f49fea3f6eb5"", ""assessment_date"": ""2025-02-23""}",2025-05-11 10:03:20.267566,53,490
54,54,343,low,mocked,3,2,0,0,27.07,0.13,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 79938.5}]","{""bureau_score"": 343, ""report_number"": ""f7805c59-57bf-4d0c-a533-37259ce3d7d7"", ""assessment_date"": ""2025-01-07""}",2025-05-11 10:03:20.292293,54,8165
55,55,432,low,mocked,5,3,2,30,15.83,0.14,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 53147.2}]","{""bureau_score"": 432, ""report_number"": ""44663780-7a88-4cf7-83c7-100582b32eb6"", ""assessment_date"": ""2025-02-02""}",2025-05-11 10:03:20.314381,55,3744
56,56,841,high,mocked,15,10,0,0,16.66,0.54,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 79972.1}]","{""bureau_score"": 841, ""report_number"": ""5c534e0f-59e6-4dae-921d-168cba6d3a62"", ""assessment_date"": ""2025-03-12""}",2025-05-11 10:03:20.340552,56,6634
57,57,656,medium,mocked,12,4,0,0,60.07,1.21,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 80682.3}]","{""bureau_score"": 656, ""report_number"": ""d44a6734-6006-4b12-bdf5-d443d1bfc5b8"", ""assessment_date"": ""2025-03-04""}",2025-05-11 10:03:20.369206,57,5142
58,58,488,low,mocked,14,2,0,0,43.16,0.38,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 97424.5}]","{""bureau_score"": 488, ""report_number"": ""1020fba0-b3f1-45c8-b057-c733050cae1b"", ""assessment_date"": ""2025-02-11""}",2025-05-11 10:03:20.411225,58,8703
59,59,632,low,mocked,4,4,0,30,61.54,0.38,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 75607.5}]","{""bureau_score"": 632, ""report_number"": ""0b06be16-ab98-469f-8a2e-8d2e4074a330"", ""assessment_date"": ""2025-05-02""}",2025-05-11 10:03:20.444861,59,451
60,60,777,high,mocked,4,4,0,30,83.37,0.22,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 73825.1}]","{""bureau_score"": 777, ""report_number"": ""e3e406a5-95bf-4635-828d-402e3178a191"", ""assessment_date"": ""2025-03-16""}",2025-05-11 10:03:20.472036,60,6236
61,61,324,low,mocked,11,10,0,0,62.61,0.07,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 30617.3}]","{""bureau_score"": 324, ""report_number"": ""f19a971a-2a3c-487a-bfcf-3d3b1afc039e"", ""assessment_date"": ""2025-03-16""}",2025-05-11 10:03:20.498477,61,8570
62,62,805,high,mocked,1,1,0,0,7.46,0.25,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 56090.6}]","{""bureau_score"": 805, ""report_number"": ""3b0dac0e-f3a4-4d08-9ecd-9fb6e0a9b3e1"", ""assessment_date"": ""2025-02-24""}",2025-05-11 10:03:20.522696,62,3456
63,63,560,low,mocked,12,4,0,0,67.06,0.08,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 42435.9}]","{""bureau_score"": 560, ""report_number"": ""0fcf30da-a71a-4b55-a1b3-3e182b5dd4e1"", ""assessment_date"": ""2025-01-13""}",2025-05-11 10:03:20.562749,63,9722
64,64,680,medium,mocked,5,4,0,0,44.67,1.29,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 86867.7}]","{""bureau_score"": 680, ""report_number"": ""0933b7cd-2500-45b7-b034-33c514388a70"", ""assessment_date"": ""2025-02-06""}",2025-05-11 10:03:20.581646,64,5849
65,65,611,low,mocked,10,8,0,0,73.33,0.03,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 11618.1}]","{""bureau_score"": 611, ""report_number"": ""b09cff50-e767-4c89-81c2-1e4b864187a7"", ""assessment_date"": ""2025-01-08""}",2025-05-11 10:03:20.602191,65,9279
66,66,733,medium,mocked,13,5,2,30,50.84,0.71,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 97684.3}]","{""bureau_score"": 733, ""report_number"": ""e703d754-c784-47e5-b611-8c9870b3156f"", ""assessment_date"": ""2025-02-08""}",2025-05-11 10:03:20.632143,66,4464
67,67,396,low,mocked,13,4,0,0,22.81,0.19,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 89474.2}]","{""bureau_score"": 396, ""report_number"": ""59e2dfec-a49c-4ff3-a947-07eb06be98a1"", ""assessment_date"": ""2025-02-23""}",2025-05-11 10:03:20.657849,67,3340
68,68,795,high,mocked,15,10,0,0,68.59,0.12,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 27726.6}]","{""bureau_score"": 795, ""report_number"": ""b996c67d-40a5-4b9d-a0e3-6524579980be"", ""assessment_date"": ""2025-01-01""}",2025-05-11 10:03:20.681028,68,3257
